Pergunta,Resposta
Devo fazer o curso de NR 1?,Verifique no portal interno de treinamentos se o curso de NR 1 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 1?,O curso de NR 1 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 1?,Consulte o portal interno de treinamentos para acessar o curso de NR 1: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 1 é obrigatório?,A obrigatoriedade do curso de NR 1 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 1 tem reciclagem?,"Caso o curso de NR 1 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 2?,Verifique no portal interno de treinamentos se o curso de NR 2 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 2?,O curso de NR 2 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 2?,Consulte o portal interno de treinamentos para acessar o curso de NR 2: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 2 é obrigatório?,A obrigatoriedade do curso de NR 2 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 2 tem reciclagem?,"Caso o curso de NR 2 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 3?,Verifique no portal interno de treinamentos se o curso de NR 3 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 3?,O curso de NR 3 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 3?,Consulte o portal interno de treinamentos para acessar o curso de NR 3: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 3 é obrigatório?,A obrigatoriedade do curso de NR 3 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 3 tem reciclagem?,"Caso o curso de NR 3 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 4?,Verifique no portal interno de treinamentos se o curso de NR 4 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 4?,O curso de NR 4 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 4?,Consulte o portal interno de treinamentos para acessar o curso de NR 4: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 4 é obrigatório?,A obrigatoriedade do curso de NR 4 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 4 tem reciclagem?,"Caso o curso de NR 4 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 5?,Verifique no portal interno de treinamentos se o curso de NR 5 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 5?,O curso de NR 5 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 5?,Consulte o portal interno de treinamentos para acessar o curso de NR 5: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 5 é obrigatório?,A obrigatoriedade do curso de NR 5 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 5 tem reciclagem?,"Caso o curso de NR 5 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 6?,Verifique no portal interno de treinamentos se o curso de NR 6 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 6?,O curso de NR 6 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 6?,Consulte o portal interno de treinamentos para acessar o curso de NR 6: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 6 é obrigatório?,A obrigatoriedade do curso de NR 6 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 6 tem reciclagem?,"Caso o curso de NR 6 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 7?,Verifique no portal interno de treinamentos se o curso de NR 7 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 7?,O curso de NR 7 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 7?,Consulte o portal interno de treinamentos para acessar o curso de NR 7: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 7 é obrigatório?,A obrigatoriedade do curso de NR 7 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 7 tem reciclagem?,"Caso o curso de NR 7 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 8?,Verifique no portal interno de treinamentos se o curso de NR 8 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Onde encontro o curso de NR 8?,O curso de NR 8 está disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
Qual o link para o curso de NR 8?,Consulte o portal interno de treinamentos para acessar o curso de NR 8: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
O curso de NR 8 é obrigatório?,A obrigatoriedade do curso de NR 8 depende do seu cargo. Verifique se o seu nome se encontra na lista de treinamentos e verifique com o setor de segurança do trabalho.
O curso de NR 8 tem reciclagem?,"Caso o curso de NR 8 exija reciclagem, essa informação estará disponível no portal interno de treinamentos: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp"
Devo fazer o curso de NR 9?,Verifique no portal interno de treinamentos se o curso de NR 9 é necessário para sua função: https://enk.webtraining.com.br/siga/siga_app/templates/padrao/aluno/desktop/desktop.asp
